nbr,DGP,noise_level,model,sample_size,x_cut_off,y_cut_off,nbr_run,CV_max_m,shap_max_m,min_x_frac,do_ML,do_shap
177,1,0,NN,3162,5,5,27,10000,3162,0.1,TRUE,TRUE
178,1,0,NN,3162,5,5,28,10000,3162,0.1,TRUE,TRUE
179,1,0,NN,3162,5,5,29,10000,3162,0.1,TRUE,TRUE
180,1,0,NN,3162,5,5,30,10000,3162,0.1,TRUE,TRUE
181,1,0,NN,3162,5,5,31,10000,3162,0.1,TRUE,TRUE
182,1,0,NN,3162,5,5,32,10000,3162,0.1,TRUE,TRUE
183,1,0,NN,3162,5,5,33,10000,3162,0.1,TRUE,TRUE
184,1,0,NN,3162,5,5,34,10000,3162,0.1,TRUE,TRUE
185,1,0,NN,3162,5,5,35,10000,3162,0.1,TRUE,TRUE
186,1,0,NN,3162,5,5,36,10000,3162,0.1,TRUE,TRUE
187,1,0,NN,3162,5,5,37,10000,3162,0.1,TRUE,TRUE
188,1,0,NN,3162,5,5,38,10000,3162,0.1,TRUE,TRUE
189,1,0,NN,3162,5,5,39,10000,3162,0.1,TRUE,TRUE
190,1,0,NN,3162,5,5,40,10000,3162,0.1,TRUE,TRUE
191,1,0,NN,3162,5,5,41,10000,3162,0.1,TRUE,TRUE
192,1,0,NN,3162,5,5,42,10000,3162,0.1,TRUE,TRUE
193,1,0,NN,3162,5,5,43,10000,3162,0.1,TRUE,TRUE
194,1,0,NN,3162,5,5,44,10000,3162,0.1,TRUE,TRUE
195,1,0,NN,3162,5,5,45,10000,3162,0.1,TRUE,TRUE
196,1,0,NN,3162,5,5,46,10000,3162,0.1,TRUE,TRUE
197,1,0,NN,3162,5,5,47,10000,3162,0.1,TRUE,TRUE
198,1,0,NN,3162,5,5,48,10000,3162,0.1,TRUE,TRUE
199,1,0,NN,3162,5,5,49,10000,3162,0.1,TRUE,TRUE
200,1,0,NN,3162,5,5,50,10000,3162,0.1,TRUE,TRUE
201,1,0,NN,10000,5,5,1,10000,3162,0.1,TRUE,TRUE
202,1,0,NN,10000,5,5,2,10000,3162,0.1,TRUE,TRUE
203,1,0,NN,10000,5,5,3,10000,3162,0.1,TRUE,TRUE
204,1,0,NN,10000,5,5,4,10000,3162,0.1,TRUE,TRUE
205,1,0,NN,10000,5,5,5,10000,3162,0.1,TRUE,TRUE
206,1,0,NN,10000,5,5,6,10000,3162,0.1,TRUE,TRUE
207,1,0,NN,10000,5,5,7,10000,3162,0.1,TRUE,TRUE
208,1,0,NN,10000,5,5,8,10000,3162,0.1,TRUE,TRUE
209,1,0,NN,10000,5,5,9,10000,3162,0.1,TRUE,TRUE
210,1,0,NN,10000,5,5,10,10000,3162,0.1,TRUE,TRUE
211,1,0,NN,10000,5,5,11,10000,3162,0.1,TRUE,TRUE
212,1,0,NN,10000,5,5,12,10000,3162,0.1,TRUE,TRUE
213,1,0,NN,10000,5,5,13,10000,3162,0.1,TRUE,TRUE
214,1,0,NN,10000,5,5,14,10000,3162,0.1,TRUE,TRUE
215,1,0,NN,10000,5,5,15,10000,3162,0.1,TRUE,TRUE
216,1,0,NN,10000,5,5,16,10000,3162,0.1,TRUE,TRUE
217,1,0,NN,10000,5,5,17,10000,3162,0.1,TRUE,TRUE
218,1,0,NN,10000,5,5,18,10000,3162,0.1,TRUE,TRUE
219,1,0,NN,10000,5,5,19,10000,3162,0.1,TRUE,TRUE
220,1,0,NN,10000,5,5,20,10000,3162,0.1,TRUE,TRUE
221,1,0,NN,10000,5,5,21,10000,3162,0.1,TRUE,TRUE
222,1,0,NN,10000,5,5,22,10000,3162,0.1,TRUE,TRUE
223,1,0,NN,10000,5,5,23,10000,3162,0.1,TRUE,TRUE
224,1,0,NN,10000,5,5,24,10000,3162,0.1,TRUE,TRUE
225,1,0,NN,10000,5,5,25,10000,3162,0.1,TRUE,TRUE
226,1,0,NN,10000,5,5,26,10000,3162,0.1,TRUE,TRUE
227,1,0,NN,10000,5,5,27,10000,3162,0.1,TRUE,TRUE
228,1,0,NN,10000,5,5,28,10000,3162,0.1,TRUE,TRUE
229,1,0,NN,10000,5,5,29,10000,3162,0.1,TRUE,TRUE
230,1,0,NN,10000,5,5,30,10000,3162,0.1,TRUE,TRUE
231,1,0,NN,10000,5,5,31,10000,3162,0.1,TRUE,TRUE
232,1,0,NN,10000,5,5,32,10000,3162,0.1,TRUE,TRUE
